S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,gene
1443.2773,599.5547,1617.5413,747.3958,1192.623,327.6254,1025.5565,276.0898,1406.0587,549.47,1335.8608,646.1104,1407.4618,784.3784,1313.8075,838.0731,1716.3859,1030.6377,1080,1169.9203,ACAD10
3387.605,5657.3346,3978.9121,2514.8763,2560.3044,2395.8712,941.7422,631.8626,1784.0638,9429.2727,2337.0532,5382.8859,2752.6381,6919.6645,1626.4739,5707.4869,3205.705,11568.5714,2662.7848,1769.732,ACAD11
1478.4664,484.4148,1278.6964,354.4922,1358.3138,280.206,1054.6854,288.8595,969.0622,434.3345,1238.6697,361.1447,1029.0834,571.5072,936.8581,424.26,1378.6626,526.5408,1495.6962,542.9606,ACAD8
916.4916,838.944,879.9425,1149.8568,880.5621,877.9739,1038.7469,1377.7367,868.8334,929.3257,889.8811,861.9669,786.4277,763.4763,871.8106,1195.5369,955.998,1471.6744,912.157,1142.4529,ACAD9
776.2605,1292.3028,658.5191,659.5052,552.6932,77.5955,593.2949,34.7864,350.9507,973.4982,489.0574,615.4776,506.463,586.3586,383.4157,922.8091,593.364,762.0235,493.6709,484.1931,ACADL
11281.5126,2372.7735,12314.4021,1523.112,4161.5925,594.4198,3497.939,867.8996,3282.952,3415.7833,4506.9791,1273.2769,4957.1093,1941.6942,3614.6824,2040.0464,5947.5242,2747.0609,4420.2532,1336.0024,ACADM
9617.1218,997.7735,9890.2468,611.0026,6772.8337,341.516,1919.7582,307.7939,3180.1482,997.0554,5453.0415,679.1616,6111.6334,1805.8306,3228.9844,1257.6901,7708.4227,1750.2672,5527.0886,919.5197,ACADSB
1964.2857,1473.2824,2408.8186,844.0755,1176.815,973.7756,914.2622,1231.616,1158.8785,1376.914,1178.356,1011.2858,931.8449,727.1727,1124.7623,1448.0557,1445.6355,2435.6965,1265.3165,756.3121,ACADS
8780.9296,11394.6788,8371.8524,6086.1947,6307.945,7648.3248,9401.4592,4415.6759,6372.2011,7361.8581,5855.9194,6625.9089,5836.6128,4573.1298,7178.3682,12144.4922,6558.0357,9712.1482,6230.8608,8000.9869,ACADVL
37.8151,88.7405,40.7381,1007.1615,159.2506,2808.7654,25.5565,2148.8331,431.5179,729.3875,139.583,1393.3898,230.611,581.4081,401.6736,1757.9803,163.3486,718.5607,61.2658,115.2993,ACAN
32.0378,303.4351,12.4611,158.5286,22.2482,594.4198,8.7936,225.4513,93.4579,108.6572,6.2037,128.1741,76.087,120.462,64.6634,109.6924,15.1097,65.5504,8.6076,248.8037,ACAP1
960.6092,1479.3257,950.8747,1455.4036,1056.7916,1047.5392,705.4136,1169.5288,1133.7415,1324.2049,965.7074,1652.5595,1446.5335,1456.5457,1260.175,950.6674,981.317,887.7805,916.4557,1021.0852,ACAP2
400.2101,431.7589,411.7805,391.722,468.507,443.5828,152.5144,260.6913,339.9968,356.0071,298.1217,495.9371,356.7538,446.9417,310.3842,309.3442,379.7979,426.8009,362.0253,483.599,ACAP3
14630.2521,2888.9949,14353.2231,1661.7839,8617.096,1246.7968,5591.6461,1434.6103,6458.5885,3651.0601,9155.2645,2378.0734,8756.463,3302.5303,5875.6181,2286.7092,11589.1782,5892.4118,10412.1519,2459.6113,ACAT1
396.334,296.8162,394.9053,215.6673,380.1756,341.061,633.6384,603.9454,331.8595,222.3704,452.7417,271.8823,367.4912,245.1925,288.817,379.0424,509.415,375.415,502.2025,296.8429,ACAT2
826.1555,1462.4682,1039.5399,1450.8464,1186.1827,1195.0665,1272.8772,1445.1783,1265.8717,2087.1614,1027.3996,1151.9549,1269.6827,1345.4345,1285.6599,822.4028,1062.583,1097.6131,1052.1519,968.3861,ACBD3
918.0672,760.8142,1059.19,404.9479,490.0468,295.0545,273.7016,222.8093,352.2398,785.0412,432.5349,670.6973,428.3196,409.2409,365.1579,986.6512,562.3277,649.0916,511.3924,451.6154,ACBD4
2534.1387,1519.402,2271.2677,1259.1146,2017.5644,745.3,2410.5523,670.6297,1429.5843,1409.5995,1836.6362,966.9488,1711.2221,1187.0187,1664.1308,1080.0929,2163.5528,1212.6826,1811.1392,1097.0997,ACBD5
301.9958,355.598,330.2181,396.8099,328.4543,574.3025,305.5785,527.9613,338.7045,396.6431,331.5526,451.0278,330.4935,435.6436,319.5131,506.6744,349.5661,662.6291,378.2278,412.3306,ACBD6
14.1807,6.0433,13.4196,9.4401,25.7611,12.4536,37.0981,27.7411,23.2034,5.3004,30.6738,7.2551,23.5018,17.0517,28.1476,5.2234,28.9944,17.8126,36.962,11.498,ACBD7
13.6555,1.5903,17.733,2.2786,20.4918,34.9659,117.0651,22.0167,52.8521,0.8834,28.2612,1.2092,24.6769,8.8009,31.1906,1.7411,22.4604,3.2063,27.3418,21.0796,ACCN1
70.3782,5.4071,29.7148,18.5547,49.1803,34.9659,22.8085,13.21,22.2365,8.5395,41.7026,17.7348,59.6357,29.703,33.4728,6.3842,63.2976,12.8251,49.6203,23.3154,ACCN2
378.1513,733.4606,219.0271,328.4505,429.1569,488.5642,116.7903,165.1255,139.8646,275.0294,137.1704,262.3942,150.1175,206.2706,129.7071,205.4556,171.5161,204.4888,132.1519,130.3105,ACCS
237.9202,487.2774,253.0554,382.487,238.2904,390.3724,151.69,499.3395,227.1995,201.7079,214.7165,419.9919,206.228,340.484,271.5862,378.4098,228.2797,484.503,230.8861,492.8166,ACD
4646.0084,1345.7379,3874.4309,1208.0078,1252.9274,119.2672,73.9214,1.7613,1528.8431,1785.9246,1976.2192,564.2886,3277.9083,1135.3135,932.674,75.4498,2811.6386,5783.0424,757.4684,3663.3868,ACE2
79.8319,263.6768,68.0566,123.0469,96.0187,58.9151,151.69,36.9881,111.8273,125.4417,68.2406,259.1697,68.7427,95.1595,101.9399,55.7168,49.0046,67.6879,63.2911,160.9718,ACER2
452.7311,694.6565,415.5284,478.8411,456.6745,492.3961,359.4394,485.6891,468.9011,365.1355,346.3726,356.711,569.3302,433.9934,521.8714,317.4695,398.9791,283.5768,311.8987,603.9638,ACER3
