Gene	TCGA.A7.A0CE.01	TCGA.A7.A0CH.01	TCGA.A7.A0D9.01	TCGA.A7.A0DB.01	TCGA.A7.A0DC.01	TCGA.A7.A13E.01	TCGA.A7.A13F.01	TCGA.A7.A13G.01	TCGA.AC.A23H.01	TCGA.AC.A2FB.01	TCGA.A7.A0CE.11	TCGA.A7.A0CH.11	TCGA.A7.A0D9.11	TCGA.A7.A0DB.11	TCGA.A7.A0DC.11	TCGA.A7.A13E.11	TCGA.A7.A13F.11	TCGA.A7.A13G.11	TCGA.AC.A23H.11	TCGA.AC.A2FB.11
SPATA2	8.4824	8.9618	11.0193	8.994	10.8645	9.0777	8.0556	9.2719	9.3684	8.6912	8.8236	8.8462	7.945	7.9017	9.2725	8.4586	8.3669	7.9604	8.4595	8.7685
SPATA1	1.0219	2.3002	1.8018	0.4759	2.502	0	1.1459	3.0189	1.4809	1.4025	2.2933	1.5488	1.3377	1.6144	1.7355	0	1.2364	1.3977	1.8166	2.7617
SNORD114-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RCC1	10.7541	9.0062	10.948	9.1852	9.4405	10.2457	9.6728	8.6268	9.727	9.1798	8.4523	7.3451	6.8583	7.7326	6.6759	7.4146	7.9136	5.1272	6.7395	8.0013
RCC2	13.0731	11.8809	11.7537	11.7424	12.2606	12.5795	11.8021	11.5734	11.9616	12.0859	11.6021	11.2827	10.4115	10.8038	11.1795	10.8031	11.052	9.9448	11.1972	11.2474
TLR9	4.6282	3.2974	3.6598	3.6161	3.5683	7.1157	2.7186	2.5957	2.9781	7.3754	4.7535	5.5582	4.6401	5.0224	3.8074	4.8129	5.0071	4.7522	4.8055	4.6591
LPHN1	9.6452	10.6748	11.0632	10.785	10.6595	11.9834	10.6534	10.7027	9.4838	10.5157	10.088	10.8577	10.7717	9.8617	10.7347	10.6746	10.6345	10.4786	9.3014	9.9565
SPATA7	7.5711	7.3431	8.2693	8.1171	7.5926	6.9738	6.5695	6.8465	6.6451	7.1132	7.767	7.8831	7.9919	7.9386	7.147	8.0119	7.9722	8.265	8.4418	7.5708
ATPBD4	5.2332	6.7645	6.5038	6.1287	7.9874	6.5625	7.1737	6.3334	6.8891	6.656	6.8331	6.8356	6.6406	6.7159	7.1936	6.6792	7.2296	7.0214	7.5223	6.9851
SPATA6	6.0611	7.9958	7.0299	6.6195	6.8168	5.2374	7.3004	8.6273	6.6536	7.1233	6.9488	6.4389	6.6913	7.077	6.824	6.9307	7.0358	7.5489	7.5307	7.3252
CWH43	3.4371	0.9048	7.1767	4.4892	0.3844	7.923	0	1.8838	0	7.4625	2.8776	1.3245	0	0	0	0	0	0	4.212	3.0385
