logFC	AveExpr	t	P.Value	adj.P.Val	B
KEGG_LEISHMANIA_INFECTION	-0.417042008851141	0.0238418583419013	-4.05542890624813	0.000379863184779074	0.00125354850977094	-0.156966874339242
KEGG_ASTHMA	-0.505082789737651	0.0580900557516698	-3.99802137216775	0.000442332597298731	0.00143107605008413	-0.303374177884469
KEGG_MELANOMA	-0.302202980200751	0.0155538761365437	-3.92425295825223	0.000537630428873577	0.0017059427070027	-0.490760681027779
KEGG_LONG_TERM_DEPRESSION	-0.280571273131931	0.0220895006779439	-3.89339490236032	0.000583238647524228	0.00181574295927354	-0.56888114707218
KEGG_LONG_TERM_POTENTIATION	-0.288422755334628	0.0175591542694087	-3.87492951515432	0.000612325598647627	0.00187099488475664	-0.615549910465526
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	-0.332216330207657	0.00856354634301721	-3.81917173357503	0.000709067362450442	0.00212720208735133	-0.75610020847747
KEGG_VEGF_SIGNALING_PATHWAY	-0.252297229836171	0.0119769640936733	-3.78911446359788	0.000767277917196927	0.00224712289264613	-0.831627131436893
KEGG_ECM_RECEPTOR_INTERACTION	-0.300271487920384	0.0164495109724497	-3.7840691772105	0.000777497297651197	0.00224712289264613	-0.844287798778417
KEGG_DORSO_VENTRAL_AXIS_FORMATION	-0.428867454112966	0.0228768468850058	-3.7780335888363	0.000789897744081669	0.00224712289264613	-0.859427037678603
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	-0.368284623272769	0.0394318862225822	-3.75063447161073	0.000848668270270616	0.00237339431516359	-0.928062849700622
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	-0.454913984064395	0.0394811106642084	-3.69791571843971	0.000974022299644634	0.00267856132402274	-1.05969722309879
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	0.277285806387874	-0.0456788104750446	3.68944061544014	0.00099579485846119	0.00269354346960814	-1.08080472571199
KEGG_ALLOGRAFT_REJECTION	-0.49367589585138	0.0468788762200261	-3.56399914873225	0.00137933640005057	0.00367081461303782	-1.39135804836324
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	-0.2365468054473	0.00219463945291229	-3.52927966337333	0.00150876661111002	0.00395153160052623	-1.47666263814959
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	-0.305095433127402	0.0192963910613818	-3.51347823941619	0.00157151095327927	0.00405155167642313	-1.51538782430953
KEGG_ETHER_LIPID_METABOLISM	-0.245981893010334	0.0269774459457114	-3.50044611149945	0.00162515961826534	0.0041254051848274	-1.54727900260638
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	-0.280410559047883	0.0192177670545816	-3.41108194235869	0.00204396015568298	0.00510990038920744	-1.76477453174517
KEGG_TIGHT_JUNCTION	-0.210219430060031	0.00167518849972976	-3.40298065511571	0.00208672141571134	0.00513894079988613	-1.78438562537182
KEGG_BASAL_CELL_CARCINOMA	-0.243957335150818	0.024356057159522	-3.38139529269595	0.00220492462269251	0.00535018474623918	-1.83654927263632
KEGG_WNT_SIGNALING_PATHWAY	-0.223116301086915	0.000249197387792513	-3.33879272747288	0.00245750264432972	0.00587663675817977	-1.93911670454303
KEGG_BASAL_TRANSCRIPTION_FACTORS	0.285795837071178	-0.0519703459548203	3.27845265091377	0.00286353075236868	0.00674975105915474	-2.08347903466606
KEGG_AUTOIMMUNE_THYROID_DISEASE	-0.398098354877914	0.0709274992181405	-3.21221115377495	0.00338357862674495	0.00779702665713242	-2.24067725951005
KEGG_TRYPTOPHAN_METABOLISM	-0.289045193848753	0.0229687937236393	-3.21000908224307	0.00340233890493051	0.00779702665713242	-2.24587916963409
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	-0.293423919746699	0.00462722237353842	-3.13525532410756	0.00410183523405313	0.00927127141943516	-2.42152483128703
KEGG_PRION_DISEASES	-0.276028772245144	0.0101344235663405	-3.05322320556085	0.00502745183869852	0.0112098588295305	-2.61207763665445
KEGG_GLYCEROLIPID_METABOLISM	-0.231096170879152	0.01251286227108	-3.01603501426777	0.00550988332575397	0.0121217433166587	-2.69766965608964
KEGG_PROPANOATE_METABOLISM	-0.371371131050248	-0.0411204934415773	-2.98314029123051	0.00597308301453246	0.0129678775973402	-2.77295277392019
KEGG_SPHINGOLIPID_METABOLISM	0.223165925262408	-0.0251074827611037	2.97394929646627	0.00610898196575797	0.0130906756409099	-2.79391437394095
KEGG_PROTEASOME	0.37685664569638	-0.0294805903392894	2.94302963610615	0.00658805213115877	0.0138500874471603	-2.86419390296922
