Gene_name	S02_Normal	S03_Normal	S05_Normal	S06_Normal	S10_Normal	S02_Tumour	S03_Tumour	S05_Tumour	S06_Tumour	S10_Tumour
ARRDC4	1202	529	1094	866	1579	1178	778	1079	384	451
TTLL11	37	0	25	12	0	16	0	0	0	3
HMOX2	22	8	26	33	14	26	1	16	0	5
LMNB2	88	46	160	112	180	107	190	231	57	103
STT3B	737	299	589	606	1151	733	460	816	189	698
NELFE	381	164	379	428	631	627	268	424	131	670
MAP1B	45	21	59	58	18	50	18	0	0	5
TUBGCP3	645	160	318	430	473	284	125	316	113	266
TMEM255A	57	5	0	10	4	0	0	0	0	0
HYAL1	94	16	0	122	57	14	35	129	0	104
ARHGAP25	335	244	479	334	820	360	272	470	171	301
DOT1L	633	194	486	420	689	354	386	464	254	347
FCRL4	0	1	0	5	0	0	0	26	0	1
SEZ6	0	0	0	0	0	0	0	0	0	0
HIST1H2AI	148	86	162	79	98	388	714	1317	670	78
KRTAP9-6	1	0	0	10	1	0	0	0	0	0
C8orf48	14	7	0	39	19	40	0	0	0	98
SRGAP2B	2384	528	2102	1786	1060	2158	1008	1541	1038	938
MCAM	530	296	467	1819	717	616	435	234	218	181
SLC18A2	279	137	394	492	616	406	262	205	44	180
SMAD7	99	32	292	175	78	361	330	619	442	122
GHDC	11	27	47	86	91	44	75	185	101	44
MRPS15	35	6	54	25	26	33	12	39	0	5
METTL3	291	131	113	262	387	140	163	203	73	247
APOA2	0	0	0	0	3	0	0	0	0	0
TMEM129	37	48	0	49	43	11	18	15	30	17
FAM234A	242	180	364	293	281	205	285	254	31	114
BIVM	258	70	196	132	175	136	82	149	0	61
SLC29A1	855	506	562	1315	1106	593	224	172	41	250
GNA13	870	421	984	882	1348	835	417	518	27	771
GNB2	440	128	262	306	403	302	77	335	38	192
PTPDC1	8	1	0	8	6	8	10	16	0	5
CHSY1	773	187	637	1238	1026	1112	637	770	412	561
PMM1	59	45	131	41	65	54	88	59	33	17
OSBP	28	43	88	24	80	57	8	47	26	18
CARD17	57	14	150	9	97	41	24	170	9	17
SCN3A	0	0	0	0	0	0	0	0	0	1
RTN4IP1	93	38	70	78	138	88	45	52	40	89
NPAS4	0	0	0	9	0	0	0	0	0	0
CACNG6	0	0	0	0	0	0	0	0	0	0
VNN3	0	0	0	0	14	13	7	40	0	3
TRIM58	104	8	19	6	7	16	0	76	0	5
PRPF40B	41	15	127	37	24	61	18	0	32	9
PCCA	10	0	0	3	5	0	0	0	0	2
OR6C2	0	0	0	0	0	0	0	0	0	3
LCA5	0	0	0	13	18	19	13	0	29	7
ATP6V1C2	860	212	836	126	859	135	164	628	214	69
FRMD4B	1307	300	1034	614	775	716	518	1116	315	451
ELFN2	0	0	0	0	0	0	0	0	0	0
PIEZO2	24	4	29	124	27	41	24	0	0	17
CRIP2	0	0	0	0	4	0	0	8	0	0
OR2T3	0	0	0	0	0	12	6	0	0	3
TIGD5	11	13	36	16	4	14	8	62	0	8
GRPR	0	0	0	0	0	0	0	0	0	1
ZNF623	320	79	240	163	268	223	190	238	32	216
DAB1	0	0	0	0	0	0	0	0	0	0
TMPRSS15	0	0	0	0	0	0	0	0	0	0
E2F7	13	0	30	7	2	15	48	34	0	20
DNAH14	0	0	0	0	0	0	0	0	0	4
WBP1	190	90	211	92	134	277	309	529	161	43
NAV2	23	20	17	58	94	22	31	11	28	21
OR6C74	0	0	0	0	0	0	0	0	0	0
SMIM23	0	0	0	0	0	0	0	0	0	0
ZNF197	287	78	334	155	204	187	213	218	0	89
SLC15A2	38	12	60	0	16	0	0	20	0	2
RNF19A	322	57	111	228	271	190	43	201	68	195
PLEKHG4B	0	1	0	5	10	17	9	0	40	0
PEPD	77	14	50	45	32	23	47	28	0	6
LRRC6	14	8	0	12	27	9	0	10	0	27
BRF2	128	35	168	162	206	170	75	91	75	289
CCDC28A	49	8	22	33	57	28	28	0	0	27
