"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene.symbol"
"ENSG00000100092",880.799918185674,0.765280161512709,0.251550744251651,3.0422496414764,0.00234817061422414,0.0148867122347314,"SH3BP1"
"ENSG00000100097",11440.0522367833,0.380302715340175,0.280874400112755,1.35399564783229,0.175737766221335,0.363961028436758,"LGALS1"
"ENSG00000100099",1221.19514736996,-0.557672276549637,0.168859259471191,-3.30258629758342,0.000957976058027747,0.00720772180774605,"HPS4"
"ENSG00000100100",171.944604861459,0.356377192558469,0.371693931926859,0.958792065049357,0.337663507400425,0.549900331194156,"PIK3IP1"
"ENSG00000100104",794.92070911356,-0.233155123955875,0.178857291276697,-1.30358187967399,0.192376182228687,0.385437346547745,"SRRD"
"ENSG00000100105",1151.31154213824,0.438056329629655,0.163553780665141,2.67836260249177,0.00739830784713208,0.0369298866702676,"PATZ1"
"ENSG00000100106",3103.94287321912,0.509695051292564,0.163441254757712,3.11852140420816,0.00181760939408007,0.0121102670026175,"TRIOBP"
"ENSG00000100109",1302.92633921923,0.292803230198486,0.184755117963345,1.58481796567377,0.113007699292011,0.272347821953713,"TFIP11"
"ENSG00000100116",1203.25402827885,0.557502022177622,0.200544191569208,2.77994599502138,0.00543679392303434,0.0289520580317822,"GCAT"
"ENSG00000100124",793.617346647339,0.032376617424576,0.184074647083066,0.175888520975763,0.860381523694177,0.929456310051613,"ANKRD54"
"ENSG00000100129",2250.83774276472,0.750901244020593,0.255567352251091,2.93817358675314,0.00330152111815217,0.0195241865104992,"EIF3L"
"ENSG00000100138",5850.26386332787,-0.421252824492569,0.244067571954336,-1.72596802237776,0.0843531658156611,0.222746577933875,"SNU13"
"ENSG00000100139",2558.3479107311,1.3350321839738,0.222650459782233,5.99608994870056,2.02125092516508e-09,6.48231579091371e-08,"MICALL1"
"ENSG00000100147",238.507853049966,0.691642447972355,0.28131685471959,2.45858872786619,0.0139484304539853,0.0607715638432786,"CCDC134"
"ENSG00000100150",423.145199636777,0.67903138920901,0.211946604724898,3.20378517075268,0.00135633642249561,0.00959094098603233,"DEPDC5"
"ENSG00000100151",974.329663572157,0.159482273217396,0.176689279683559,0.902614315384728,0.366730626206054,0.578626037655243,"PICK1"
"ENSG00000100154",1234.63821108973,-0.232260064522771,0.197541285402083,-1.17575454695468,0.239692974416473,0.444699410776213,"TTC28"
"ENSG00000100162",1729.16360918711,-0.121971635080296,0.166352993925056,-0.733209737933815,0.463430516939217,0.664618200771867,"CENPM"
"ENSG00000100167",818.114364973071,0.494066193504782,0.253623605931308,1.94802921317425,0.0514114677512107,0.158449716958047,"SEPTIN3"
"ENSG00000100191",16.6231769576449,1.34929783155388,0.566311738516564,2.38260615096611,0.0171905750288411,0.0713727768435249,"SLC5A4"
"ENSG00000100196",890.531078018438,1.26554291709794,0.23605906983016,5.36112811936634,8.27038331798592e-08,1.87327183820561e-06,"KDELR3"
"ENSG00000100197",18.97353827038,0.105519521843915,0.530504556532067,0.198904082056713,0.84233777629818,0.920188855634834,"CYP2D6"
"ENSG00000100201",11443.4885582459,0.337628403600271,0.14381188012561,2.347708710194,0.018889287158086,0.0762175891999708,"DDX17"
"ENSG00000100206",48.2125481734963,2.17461511734746,0.386249811067326,5.63007425515196,1.80132053810437e-08,4.68469482801961e-07,"DMC1"
"ENSG00000100207",3480.94770439753,0.196535798285913,0.14134588136564,1.39046002888125,0.164389228906911,0.348369390775148,"TCF20"
