"","S02_Normal","S03_Normal","S05_Normal","S06_Normal","S10_Normal","S02_Tumour","S03_Tumour","S05_Tumour","S06_Tumour","S10_Tumour"
"LDHA",305.555973219733,224.327928728117,110.728673058812,329.894729126643,419.944085735372,475.774988650872,124.549657664758,382.442735228876,187.580760934957,499.356042858112
"MALAT1",5710.81745296725,4037.90271710611,6013.54396479693,2094.74139478229,4311.55262684868,5419.36356382498,11693.3752368208,11457.0243697412,17623.5150394536,16278.2598310255
"KCNQ3",0.789550318397242,3.93557769698452,11.3985398737012,9.01351718925253,9.50099741482741,0,0,40.2571300240922,0,3.7358307445744
"KIF20A",6.31640254717794,25.5812550303994,0,6.30946203247677,13.3013963807584,21.657892288072,15.3134824997653,44.9021834884106,0,119.546583826381
"L1CAM",64.7431261085738,66.9048208487368,84.6748676332088,66.7000272004687,83.6087772504813,64.973676864216,66.3584241656497,11.6126336607958,0,6.22638457429067
"LOXL1",143.698157948298,261.71591684947,217.386439019873,664.296216847912,214.7225415751,421.979578774048,77.5883113321443,56.5148171492064,0,80.9429994657787
"MAPK9",165.016016545024,104.29280897009,96.07340750691,100.951392519628,115.278768633239,148.810679269656,73.5047159988735,88.2560158220483,101.354120827759,170.602937335564
"KIAA0355",109.747494257217,25.5812550303994,79.7897791159083,142.41357159019,61.4397832825506,37.726651082448,10.2089883331769,0,0,32.3771997863115
"LCMT2",77.3759312029297,62.9692431517523,71.6479649204075,63.995972043693,68.4071813867574,82.439719032016,58.1912334991082,61.1598706135247,0,144.452122123544
"MACF1",607.953745165876,651.338108850938,693.682569456672,784.17599546497,549.157650577025,934.782576820655,766.695023821583,618.566286331725,231.450455024584,677.430641682825
"MBNL1",998.781152772511,545.077511032356,517.819382833854,580.470506987863,872.191562681157,973.906511276527,528.825595658562,1049.00790735856,573.331519309264,1329.95574506849
"KIF15",39.4775159198621,7.87115539396904,0,0,8.86759758717225,13.274192047528,19.3970778330361,19.3543894346597,0,18.679153722872
"KRT7",57.6371732429987,33.4524104243684,139.225022743065,109.063557989956,168.484354156273,30.041592528616,132.716848331299,60.3856950361383,78.6628997469175,37.358307445744
"LSP1P4",38.6879656014649,23.6134661819071,15.4694469714516,27.9419032866828,15.2015958637239,75.453302164896,0,51.0955881075017,0,8.71693840400694
"MAPK13",2169.68427495562,1721.81524243073,1250.58266042893,1699.94934189303,2017.37845108169,1775.9471676219,1029.06602398423,1565.38301747528,1890.93509007013,2423.30887631393
"KIAA0100",281.079913349418,139.71300824295,317.530753624533,146.018978465891,159.616756569101,153.002529389928,168.448307497418,257.026291692281,157.325799493835,156.904891272125
"KLHDC2",1123.53010307928,1172.80215370139,942.007902419448,1003.20446316381,829.120374400606,792.259672731407,916.767152319283,832.238745690368,1111.86983296124,1404.67235995998
"LARS",315.0305770405,403.396713940913,109.100310219711,391.18664601356,391.44109349089,447.13067949568,445.111891326512,321.282864615351,375.161521869914,965.089609015054
"LSM5",30.0029120990952,17.7100996364303,18.726172649652,15.3229792217293,44.9713877635164,39.822576142584,41.8568521660252,112.255458721026,0,119.546583826381
"MASTL",105.79974266523,47.2269323638142,52.1076108512054,45.0675859462627,50.6719862124129,60.781826743944,33.6896614994837,48.7730613753425,49.9206863778515,23.6602613823046
"KAT6A",255.024752842309,308.942849213285,208.430443404822,455.182618057253,495.318665226336,230.55175661496,231.744035163115,203.60817685262,172.453280214396,202.980137121876
"KIF11",107.378843302025,68.872609697229,79.7897791159083,57.6865100112162,69.6739810420677,71.261452044624,150.0721284977,260.122994001827,222.373966592248,389.771674350596
"KRT19",9.4746038207669,7.87115539396904,0,41.4621790705616,20.9021943126203,23.055175661496,115.361568164899,0,0,17.4338768080139
"LIPA",113.695245849203,127.906275151997,102.586858863311,198.297378163556,347.103105555028,92.2207026459839,27.5642684995776,89.0301913994347,0,428.375258711198
"MAP4K4",312.661926085308,110.196175515566,377.780178671239,367.751501321503,322.400512276477,590.35222527164,126.591455331393,363.862521371603,618.713961470947,196.753752547585
"KDM5A",357.666294233951,295.168327273839,321.601660722284,390.285294294635,315.43311417227,293.42950841904,116.382466998216,265.542223043531,60.5099228822442,459.507181582652
"KIT",101.851991073244,129.874064000489,101.772677443761,334.401487721269,333.168309346615,121.563653487888,43.8986498326606,29.4186719406828,0,186.79153722872
