"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"XPNPEP2",197.18076949964,-2.9052325862584,0.870660850145555,-3.33681316413011,0.000847448960634098,0.0148866262686726
"NCBP2AS2",100.354408193092,-0.0751286868982172,0.512560269083031,-0.146575322805691,0.883467232823685,0.945080764781697
"CCDC163",8.31944308729311,-0.888317144682335,1.61302710926956,-0.550714330576005,0.581829519289092,0.771443342518448
"CDR2L",186.384255109828,0.710338860895407,0.510503989215782,1.39144624900308,0.164090148353996,0.387480783702685
"TTC30A",10.0694928802202,-4.22883174269748,1.68916400240373,-2.5035057203917,0.0122969692511103,0.0861571926382252
"CD300LG",55.3083627896292,-2.50698372412235,0.666436437695374,-3.76177469045936,0.00016871199626347,0.00495464673213835
"NFYB",37.6568174693292,-0.386484053181426,0.956996742892351,-0.403850959840623,0.686322320181438,0.838647587240519
"SH3D21",962.25418613476,0.238004207752681,0.420368461322287,0.566179981733237,0.571271436722144,0.764129150397464
"METAP1D",34.6708054211156,-1.72778084779605,0.965540065560562,-1.78944500536387,0.0735431767842063,0.248205868716802
"TRBV6-1",4.51684188698667,-0.911124755441568,3.00405159106302,-0.303298637797081,0.761662284209816,NA
"LYPLAL1",203.227130271672,-1.25364041235668,0.84359593386583,-1.48606739557384,0.137261295321991,0.350459046847828
"USP17L5",12.7577938069613,-5.8657711423037,1.89971774992433,-3.0877066567059,0.00201707470639508,0.0264385159826297
"ITGB1BP2",22.8231549092564,1.52450378449687,1.31816300158494,1.15653662154364,0.247461729124046,0.486676156340672
"PTCH2",15.7549228169191,-2.32977442686703,1.53253544304601,-1.5202091654314,0.128458414598169,0.337624558482329
"POLR3C",178.747564330032,-0.351654082130964,0.474685514688944,-0.74081485794105,0.45880570509201,0.680289219312182
"EIF2B2",306.644528576234,-0.198022218294464,0.313852726055563,-0.630939934099562,0.528079799484481,0.734753638915519
"NAA50",1087.40280799489,-0.0849427765343142,0.337416718316251,-0.251744421432905,0.801238619132973,0.904316736445038
"CROCC",108.42556069459,-0.213014791679887,0.497529895180445,-0.428144707973038,0.668545768780062,0.82797526478509
"GSDMB",62.9844131000981,-0.43756555589206,0.734499592828518,-0.595732877409801,0.551353690902619,0.74988651554842
"LRP2BP",12.9952134526938,-2.37868873732225,1.71235097783536,-1.38913620403291,0.164791336521627,0.388194339280822
"LCN2",2345.26996922282,0.0919517827514923,0.654143106114136,0.140568297505605,0.88821099443622,0.947856137420445
"SOWAHC",484.222690453145,-0.0530451495049281,0.399460772544041,-0.132791886339928,0.894357971293144,0.951283516896055
"POLR3D",113.376380329078,-0.744613354748443,0.516818910611847,-1.44076259490373,0.149651764212377,0.367978006910101
"SBK1",69.7258212008602,-0.472007408866511,0.55781854302879,-0.846166580091888,0.397459822645764,0.62833056245139
"CD300LF",87.4614010104955,1.60418288400709,0.455145548354857,3.52454921245626,0.000424204009960063,0.00930707832834174
"SMIM30",125.528581399744,-0.607924543327438,0.876192043612307,-0.693825683261316,0.487791533922124,0.703722009441698
"COL6A5",8.7424100395052,-5.74130158929359,2.33635629951665,-2.45737415585172,0.0139956836180125,0.0931980923475218
"THEM5",10.0869861192563,-3.91719592805302,1.67367995302317,-2.34046892954498,0.0192595408607933,0.113029560603118
"PTDSS1",382.631763025214,0.0869436191032101,0.308797592161907,0.281555366071716,0.778284468750025,0.891864999602207
"DSG1",5923.22018162854,-0.243967522031924,0.352538660067415,-0.692030547756864,0.488918145359967,0.704576466089237
"PER1",462.547530940795,-1.29949716764061,0.377882639526198,-3.43889089287075,0.000584102595203122,0.0117051319458182
"MRPL22",75.0051600805319,-1.17116724004377,0.862011187657092,-1.35864505799159,0.174259089888587,0.402014813943607
"PPP6C",25.952397674968,-1.73287391239913,1.36251507979217,-1.27181998797653,0.203437085466693,0.437705373478998
"CD79A",47.3323509067083,0.92258919987124,1.19926519189492,0.769295403640863,0.441717965219841,0.665428206259433
"FCER2",90.8081317023756,-2.24188911424987,0.818201436957612,-2.74002099359062,0.00614352600958875,0.0554271691209605
"DSG3",2967.77989265411,1.15370277596518,0.459978462473129,2.50816694712652,0.0121359313897475,0.0856203270760892
"CDH24",47.7929691597926,-0.178180861802028,0.918689737590089,-0.193951074569999,0.846214191203486,0.926913135504997
"PPARGC1B",107.591852974039,-1.01034685792026,0.411886914893053,-2.45297148656105,0.0141681568780238,0.0939272582170047
"ZFP92",18.4886024726547,2.03504901868538,1.2075625199928,1.68525354587647,0.0919396641696311,0.283053096367209
"OAS3",482.162080936268,1.23696524639091,0.424508462505245,2.91387653167368,0.0035697105971905,0.0386086052092112
"PRMT2",116.194856583289,-0.903431748506178,0.459706321739035,-1.96523673002486,0.0493868446433563,0.19848062586629
"SCRN2",235.758020527263,-0.0941061760565755,0.337757308283954,-0.278620695240323,0.780535928893393,0.892563243290979
"NTSR1",13.9195582117634,1.95315928601832,1.88803589141499,1.03449266769739,0.300905902840067,0.540270320649391
"GRP",21.3055670304813,1.99675365989894,1.29716943487014,1.53931599544576,0.123727170835954,0.332007082887809
"MRPL2",33.6741065814326,-1.45109377800469,0.940080640299315,-1.5435843647867,0.122689055149325,0.330833922535583
"ZNF101",63.216582266911,-0.301824316991221,0.545588275342514,-0.553208950103885,0.580120339047664,0.770183929790828
"SPAAR",10.0515320917639,5.49685679723286,2.25762804524566,2.43479292738619,0.0149003139745586,0.0965149494298534
"MSMB",38.3213938427186,-4.00332970708917,1.14559796574811,-3.4945328350639,0.000474892190791942,0.01003514171119
"PROK1",4.20414333452897,-3.34209199417415,2.38823801716631,-1.39939653005759,0.161694106866202,NA
"SLC52A1",24.1173105204483,0.807810707965344,1.49526043885934,0.54024749600249,0.589026361684395,0.776213113589497
"IGLV1-40",369.450343080673,6.51878053235496,1.61211647709644,4.0436163422235,5.26330201017555e-05,0.00213544308634384
"TDRD10",32.2770981439959,-0.683064912363038,1.34545686909278,-0.507682504028255,0.611676020238741,0.792150789872604
"ZNF581",44.3219583866868,0.85552220412726,0.937523380915496,0.912534259456909,0.361487543310135,0.59904169235735
"SLC6A11",93.5817796460192,0.707752656394778,0.549475137851428,1.288052193157,0.19772779531619,0.430668983155086
"PER2",298.151473966266,-1.03543502148879,0.420709437870989,-2.46116423422453,0.0138486955874676,0.0927419502368448
"FBP2",14.5191012826856,-1.27180911878233,1.41606759459368,-0.89812740835105,0.369117628365022,0.604694377888083
"TMEM79",2878.35615250701,0.938096383636232,0.361336860637521,2.59618236008668,0.00942660197633941,0.0728600080070407
"PTPN7",51.6039266070017,1.16166419090229,0.651033958194924,1.78433732415918,0.0743688687804058,0.249445540910202
"ADAMTS13",16.8319180268378,0.0640820847774674,1.12043652024144,0.0571938558051095,0.954390772507817,0.981294135052621
"HTD2",24.1755616027647,-0.181567259484058,0.833265821819613,-0.217898364158951,0.827508301737332,0.916703727355159
"FAM160B1",11.9450784309993,-1.83086055261723,1.52403032654485,-1.20132816304778,0.229623929948372,0.46834047027057
"SLC25A2",30.6627971279699,2.65581779362322,1.08995308020651,2.43663497250729,0.0148246357977255,0.0964369253225499
"MSRB1",181.422561708112,-0.0145742362738926,0.560083181858149,-0.0260215567008112,0.979240144510582,0.992074927373065
"TRBV10-3",17.5621994328926,0.15315105209818,1.43841367665998,0.106472188483218,0.915207720333969,0.962957458637107
"PJA2",132.211583288964,-0.114360696686126,0.412360642672073,-0.277331745205059,0.781525386018019,0.893118879765805
"HOXD9",82.3095079884107,1.35686399425045,0.68831453114757,1.97128483106155,0.0486913054231007,0.196753835189483
"KPRP",2119.96632060598,-1.61222364671068,0.623251839919385,-2.5867932406252,0.00968737018575776,0.0737660776127823
"MTPAP",318.940234215562,-0.500128976864597,0.477314816127099,-1.04779688366393,0.294732198607009,0.533984442268759
"ANAPC2",698.556387804687,1.09843845614685,0.324211410757416,3.38803145015995,0.000703961918716246,0.0132361399968688
"EIF2AK2",54.0026688876185,-0.514005389682624,0.524844875103116,-0.979347258714563,0.327408427197977,0.566521401162836
